GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
0021900006,1610612751,BKN,Brooklyn,1629066,,,,7.0,0,1,0,0,0,0,0,2,2,0,0,0,1,2,0,0
0021900006,1610612751,BKN,Brooklyn,201163,,,NWT_LEAGUE_SUSPENSION,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900006,1610612751,BKN,Brooklyn,1629058,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900006,1610612751,BKN,Brooklyn,1629033,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900006,1610612750,MIN,Minnesota,1626203,,F,,34.0,4,13,0,3,1,1,2,4,6,4,1,0,0,2,9,0
0021900006,1610612750,MIN,Minnesota,203496,,F,,32.0,6,11,3,6,0,0,2,7,9,0,0,0,2,4,15,0
0021900006,1610612750,MIN,Minnesota,1626157,,C,,38.0,11,22,7,11,7,8,1,13,14,3,3,3,3,5,36,0
0021900006,1610612750,MIN,Minnesota,203952,,G,,36.0,10,27,0,4,1,2,5,3,8,0,0,0,1,4,21,0
0021900006,1610612750,MIN,Minnesota,201952,,G,,34.0,5,8,0,1,4,4,0,3,3,4,1,0,3,4,14,0
0021900006,1610612750,MIN,Minnesota,203943,,,,14.0,1,3,0,2,0,0,0,4,4,1,2,0,1,1,2,0
0021900006,1610612750,MIN,Minnesota,203894,,,,20.0,1,7,0,6,3,5,0,1,1,7,0,0,1,1,5,0
0021900006,1610612750,MIN,Minnesota,1629633,,,,15.0,2,5,0,2,0,0,1,1,2,0,1,0,2,0,4,0
0021900006,1610612750,MIN,Minnesota,1629006,,,,14.0,2,5,1,4,6,8,1,2,3,3,1,0,0,0,11,0
0021900006,1610612750,MIN,Minnesota,1627774,,,,22.0,4,7,2,4,0,0,0,2,2,1,0,1,0,1,10,0
0021900006,1610612750,MIN,Minnesota,1628395,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900006,1610612750,MIN,Minnesota,203476,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900006,1610612750,MIN,Minnesota,1629103,,,DNP - Coach's Decision,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0021900007,1610612748,MIA,Miami,1626159,,F,,36.0,10,21,1,2,6,9,2,5,7,7,1,1,3,2,27,0
0021900007,1610612748,MIA,Miami,1628389,,F,,24.0,3,7,0,0,8,10,4,7,11,3,1,0,5,3,14,0
0021900007,1610612748,MIA,Miami,203086,,C,,18.0,0,2,0,2,0,0,0,3,3,0,1,0,0,4,0,0
0021900007,1610612748,MIA,Miami,1629639,,G,,33.0,6,14,1,2,1,1,0,8,8,1,2,0,1,2,14,0
0021900007,1610612748,MIA,Miami,1629134,,G,,26.0,10,18,1,2,3,3,0,2,2,3,2,0,1,5,24,0
0021900007,1610612748,MIA,Miami,201609,,,,25.0,4,9,2,4,9,10,0,3,3,3,1,2,4,1,19,0
0021900007,1610612748,MIA,Miami,1627884,,,,15.0,2,3,0,0,0,0,1,0,1,0,0,0,1,5,4,0
0021900007,1610612748,MIA,Miami,203482,,,,22.0,1,3,1,1,4,4,1,7,8,0,1,2,2,4,7,0
0021900007,1610612748,MIA,Miami,1629130,,,,22.0,1,5,1,5,0,0,0,1,1,1,0,0,1,2,3,0
0021900007,1610612748,MIA,Miami,1629735,,,,11.0,3,3,0,0,2,2,3,3,6,0,0,3,2,5,8,0
0021900007,1610612748,MIA,Miami,1629644,,,,1.0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0021900007,1610612748,MIA,Miami,1629133,,,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
